Task Name;Predecessor Task;Task Status;PIC ECU;ResponsibleRoleName;Process Link in Plib;Artifact Name;Link to Artifacts;LinkedMilestone;Description;Timely relation to milestone [working days];PLib-Version;Effort[ph];Task ID;additionalArtifacts;Study Project;SWaaP;Option: Product licensed to customer?;Option: External Suppliers in the (Sub)project?;Option: RB internal SW-Supplier which does not follow PS-EC guidelines (except BSW supply);Option: Endeavour is a Innovation Topic;Option: OBD responsibility is at RB;Option: Config Management strategy is different to generic one;Option: SW Sharing done in Project;Option: Project is not a successor project;Option: Security relevant Requirements exist;Option: ASIL D;Option: ASIL C;Option: ASIL B;Option: ASIL A;Option: QM;Option: EDC17 Project;Option: SWaaP is a customer project
Testing: verify the SW configuration fits the HW depopulation of a Series HW;NA;Valid;A,B,C,D,E;SPjM SW;NA;NA;NA;Start EWAK;"Get in Touch with your SPjM HW to clarify the exact timeline. 
Remark: For complex and innovative xCUs usually 4 months prior to the EWAK the developmentteam receives series populated samples. For less innovative xCUs this timeframe becomes less.";-112;5.8;4;Testing_025;;;;;;;;;;;;;;;;;;;
Testing: Perform BBM Metric status summary (API);NA;Valid;A,B,C,D,E;SPjM SW;https://inside-ilm.bosch.com/irj/go/nui/sid/download/alatestversion/d046018d-4994-3610-08bb-eac59807573a;BBM QA Metrics Dashboard;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CBBM+QA+Metrics+Dashboard&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGB,SW-QGC4,SW-QGP2;;0;5.6;8;Testing_024;;;;;;;;;;;;;;;;;;;
Testing: Perform FT Full;PVER_Creation_005;Valid;A,B,C,D,E;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Functional+Test&projectName=DGS-EC+SW+and+Calibration+Product+Development;Test Report System test (FT);https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Calibration+Work+Products%7CTest+Report+System+Test+%28FT%2C+OT%2C+AT%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;Once before series (as early as possible considering the implementation of major features/functionalities in the SW);0;5.6;5;Testing_022;;;;;;;;;;;;;;;;;;;
Testing: Perform FT Value;PVER_Creation_005;Valid;A,B,C,D,E;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Functional+Test&projectName=DGS-EC+SW+and+Calibration+Product+Development;Test Report System test (FT);https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Calibration+Work+Products%7CTest+Report+System+Test+%28FT%2C+OT%2C+AT%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Preliminary,Minor,Major,Series, Preliminary - Major,Series - Major,Final - Major,Final;To be done for every release;0;5.6;43;Testing_021;;;;;;;;;;;;;;;;;;;
Testing: Perform EEPROM Test;PVER_Creation_005;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Robustness-Tests&projectName=DGS-EC+SW+and+Calibration+Product+Development;EEPROM Test;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CRobustness-Tests+Reports&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;It is recommended to perform the EEP Base Functional Test and the EEPROM Stress Test at least once shortly before series production.;0;5.6;6;Testing_020;;;;;;;;;;;;;;;;;;;
Testing: Perform OPT;PVER_Creation_005;Valid;A,B,C,D,E;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=OBD+PID+Test&projectName=DGS-EC+SW+and+Calibration+Product+Development;OPT Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7COPT+Specification+and+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;Recommendation: Not later than with the last but one major delivery before RB-SOP the test should be executed.;0;5.6;42;Testing_019;;;;;;;;;;;;;;;;;;;
Testing: Perform OST;PVER_Creation_005;Valid;A,B,C,D,E;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=OBD+Scan+Tool+Test&projectName=DGS-EC+SW+and+Calibration+Product+Development;OST Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7COST+Specification+and+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;Recommendation: Not later than with the last but one major delivery before RB-SOP the test should be executed.;0;5.6;43;Testing_018;;;;;;;;;;;;;;;;;;;
Testing: Perform EEP/Mem Release Approval Request;NA;Valid;A,B,C,D,E;SPjM SW;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Release+the+EEPROM+configuration&projectName=DGS-EC+SW+and+Calibration+Product+Development;Mem/EEP FC-Approval Letter;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Software+Work+Products%7CMem%2FEEP+FC-Approval+Letter&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC4;mandatory for series at QGC4 (for both: MEDC17 / MDG1);0;5.6;5;Testing_017;;;;;;;;;;;;;;;;;;;
Testing: collect EEPROM Approval Letters (only for MEDC17);PVER_Creation_010;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Collect+the+EEPROM+configuration+information&projectName=DGS-EC+SW+and+Calibration+Product+Development;Mem/EEP FC-Approval Letter;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Software+Work+Products%7CMem%2FEEP+FC-Approval+Letter&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC4;mandatory for MEDC17 series at QGC4 (not MDG1);0;5.8;9;Testing_016;;;A,B,C,D,E;;;;;;;;;;;;;;;Y;
Testing: Perform PVER-F;PVER_Creation_005;Invalid;A,B,C,D,E;SW SD;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementName=PVER%20Functional%20Test%20(PVER-F)&projectName=DGS-EC%20SW%20and%20Calibration%20Product%20Development&anon=1;PVER-F Test Specification and Report;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CPVER-F+Test+Specification+and+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Minor,Major,Series,Series - Major,Final - Major,Final;based on impact analysis to be partly re-executed for every Final PVER;0;5.6;14;Testing_015;;;;;;;;;;;;;;;;;;;
