TaskID;TaskName;TaskStatus;ResponsibleRoleName;ProcessLink;Artifact;Description;TimelyRelation;PLibVersion;Milestones;ImpactCategory;PredecessorTasks;OptimisticEstimate;OptimisticEstimateComment;MostLikelyEstimate;MostLikelyEstimateComment;PessimisticEstimate;PessimisticEstimateComment;FinalEstimation;LessonsLearntFactor;EffortEstimation;RemarksAssumptions;StudyProject;SWaaP;ProductLicensedToCustomer;ExternalSuppliers(Sub)project;RBInternalSWSupplierNoPSECGuidelines;EndeavourIsInnovation;OBDResponsibilityIsAtRB;NonGenericConfigManagement;SWSharingIsDoneInProject;PrjIsNotSuccessorProject;HasSecurityRelevantRequirements;ASILD;ASILC;ASILB;ASILA;QM;EDC17Prj;SWaaPIsCustPrj
Codex_Compliance_001;Codex Compliance: Ensure all the related measures out of the codex case are implemented in the program versions;1;30;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CProgram+Version+Delivery%7CProgram+Version+Delivery%7CEvaluate+and+document+the+quality+status+of+the+program+version&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;72;;0;1;"16;17;22;23";"1;2;3;4;5";PVER_Creation_009;1;Project is based on a previous project;2;Usual PIC (B or C), experienced CM-R;4;huge project. Less experience of CM-R;2,166666667;1;2;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
EWAK_001;EWAK: Update Indi-Spec (ECU Individualization Specification) for EWAK;1;15;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=ECU+Individualization+Specification&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;23;;-56;1;24;"1;2;3;4";;1;check for changes with result indi-spec does not need changes;8;knwon product, typical changes;32;complex product, new generation;10,83333333;1;11;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_001;FMEA: Archive the current version of FMEA in BBM FMEA DMS.;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CPreventive+Quality%2C+Reliability+%26+Safety+Methods%7CFMEA%7CFMEA+Creation+%26+Release+%28ECU%29%7CFMEA+Release&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;;;0;4;"2;3;5;7";"1;2;3;4;5";FMEA_005;1;carry over RASIC established team;4;few changes, new team;6;new RASIC required, new team;3,833333333;1;4;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_002;FMEA: Conduct the FMEA and integrate the adapted HW and SW FMEA parts into Design FMEA ECU. Evaluate and identify important tasks;1;32;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CProduct+Safety%7CFMEA%7CFMEA+Creation+or+Update%7CMaintain+Product+FMEA+ECU+in+IQ-FMEA&projectName=Root%7CLibs%7CEngine+ECU%7CPiloting+Area+-+DGS-EC+Product+Development#;19;;0;4;"16;17;22;23";"1;2;3;4;5";;1;Baseline only to be updated;4;Baseline to be updated to new template;8;Baseline to be created newly;4,166666667;1;4;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_003;FMEA: Create master data for the FMEA in the FMEA database;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CPlan+%26+Carry+out+functional+safety+%28ISO+26262%29+related+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;19;;0;4;"1;4";"1;2;3;4;5";"PMP_002;Project_Setup_003";0,5;Project is based on a previous project;1;Usual PIC (B or C), experienced CM-R;3;huge project. Less experience of CM-R;1,25;1;1;;;"1;2;3;4;5";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;WAHR;WAHR;WAHR;FALSCH;FALSCH
FMEA_004;Testing: Perform Robustness-Tests I/O and verify results;2;4;;;;0;2;"16;22;23";"1;2;3;4;5";;8;carry over HW project;12;Layout change HW, different plant;24;new HW varient, different lead plant;13,33333333;1;13;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_005;FMEA: Plan customer presentation of FMEA, get the slides reviewed and approved and present FMEA to Customer;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CPreventive+Quality%2C+Reliability+%26+Safety+Methods%7CFMEA%7CFMEA+Creation+%26+Release+%28ECU%29%7CCustomer+Presentation&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;29;;0;1;"2;3";"1;2;3;4";FMEA_007;1;carry over project established team;4;few changes, new team;6;new Rproject, new team;3,833333333;1;4;;;"1;2;3;4;5";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
FMEA_006;FMEA: Plan customer presentation of FMEA, get the slides revivewed and approved and present FMEA to Customer;2;4;;;;0;2;2;"1;2;3;4;5";;4;Small changes;3;medium size project few tracking items;5;Lagre changes with many open items;3,5;1;4;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_007;FMEA: Summarize risks and create the Cover Sheet with all required information. Review and obtain workon approval;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CPreventive+Quality%2C+Reliability+%26+Safety+Methods%7CFMEA%7CFMEA+Creation+%26+Release+%28ECU%29%7CFMEA+Release&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;19;;0;1;"2;3;5;7;9";"1;2;3;4;5";FMEA_008;2;Small changes;2;medium size project few tracking items;3;Lagre changes with many open items;2,166666667;1;2;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_008;FMEA: Track the FMEA open items to closure. Create revision of FMEA if required;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Support+Processes%7CPreventive+Quality%2C+Reliability+%26+Safety+Methods%7CFMEA%7CFMEA+Action+Tracking+and+Update&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;19;;0;4;"2;3;5";"1;2;3;4;5";;2;Small changes;4;medium size project few tracking items;8;Lagre changes with many open items;4,333333333;1;4;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_009;FMEA: Track the FMEA open items to closure. Create revision of MFEA if required;2;4;;;;0;2;2;"1;2;3;4;5";;4;Small changes;4;medium size project few tracking items;8;Lagre changes with many open items;4,666666667;1;5;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_010;FMEA: Analyze the feasibility and impact of ECU system requirements for each Issue SW;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;6;No FMEA relevant changes. 5-6 requirements to be analyzed;8;1-2 FMEA relevant IS-SW;24;3-4 FMEA relevant I-SW;10,33333333;1;10;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
FMEA_011;FMEA: update Design FMEA ECU  and update the status of SW related actions;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;2;Minor update to FMEA;6;updates required to FMEA document and already know open points;16;FMEA relevant requirements, requiring followup;7;1;7;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
Innovation_001;Innovation: Define and prioritize clear innovation goals and search fields, based on strategic planning of the business unit.;1;44;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Innovation+Strategy+%26+Search+Fields&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;"123;148;149";;0;3;25;"1;2;3;4";Innovation_004;90;Follow Up Project;220;"New Project with ""usual"" product";400;New Project with new product;228,3333333;1;228;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
